     Time_Now  Buffer_Level 
      2.48692             0
      2.48692             2
      2.94338       1.54354
      2.94338       3.54354
      3.21787       3.26905
      3.21787       5.26905
       3.4022       5.08472
       3.4022       7.08472
      3.49809       6.98883
      3.49809       8.98883
      3.59379       8.89313
      3.59379       10.8931
      3.68911       10.7978
      3.68911       12.7978
      3.78299       12.7039
      3.78299       14.7039
      3.87721       14.6097
      3.87721       16.6097
      3.97097        16.516
      3.97097        18.516
      4.06515       18.4218
      4.06515       20.4218
      4.15949       20.3274
      4.15949       22.3274
       4.2531       22.2338
       4.2531       24.2338
      4.34612       24.1408
      4.34612       26.1408
      4.43908       26.0478
      4.43908       28.0478
      4.53373       27.9532
      4.53373       29.9532
      4.62862       29.8583
      4.62862       31.8583
      4.72372       31.7632
      4.72372       33.7632
      4.81925       33.6677
      4.81925       35.6677
        4.915       35.5719
        4.915       37.5719
      14.2993       28.1876
      14.2993       30.1876
      14.4083       30.0786
      14.4083       32.0786
      16.9006       29.5863
      16.9006       31.5863
      17.9575       30.5294
      17.9575       32.5294
       20.841       29.6459
       20.841       31.6459
      24.3499        28.137
      24.3499        30.137
      24.4659        30.021
      24.4659        32.021
