     Time_Now  Buffer_Level 
      2.48692             2
       3.3133       3.17362
      3.59723       4.88969
      3.79057       6.69635
      3.91047       8.57645
      4.02769       10.4592
      4.13777       12.3491
      4.24304       14.2439
      4.35234       16.1346
      4.45922       18.0277
      4.56844       19.9185
      4.67546       21.8115
       4.9459        23.541
      5.39678       25.0901
      6.22211       26.2648
      7.38295        27.104
      8.83135       27.6556
       10.335       28.1519
      11.9123       28.5746
      13.4414       29.0455
      16.2707       28.2163
      18.7442       27.7428
      21.1541       27.3328
      23.2118       27.2751
      24.9509        27.536
      26.6241       27.8628
      28.2174       28.2695
      29.7538       28.7331
      31.2321       29.2548
      32.8659       29.6211
      34.3815       30.1054
      36.1235       30.3634
      37.8611       30.6259
      39.6338       30.8531
      41.5354       30.9515
      44.2608       30.2261
      46.9982       29.4887
       49.514       28.9729
      52.0526       28.4343
      54.2242       28.2628
      56.2531       28.2338
      58.1678       28.3191
      60.0489       28.4381
      61.8728       28.6141
      63.5996       28.8873
      65.3688       29.1182
       67.157       29.3299
      68.8475       29.6394
      70.7335       29.7534
      72.5015       29.9854
       74.297       30.1899
      76.0564       30.4306
      77.9291       30.5578
      80.0296       30.4573
      81.9152       30.5717
      83.8806       30.6063
      85.6908       30.7961
      87.5116       30.9754
      89.2436       31.2433
      90.9129        31.574
      92.7994       31.6875
      94.8404       31.6465
      96.6156       31.8713
      98.7114       31.7755
       101.55       30.9371
       104.11       30.3769
      106.677       29.8098
      108.974       29.5128
      111.276       29.2112
      113.866       28.6214
      116.036       28.4509
      117.857       28.6299
      119.845       28.6424
      121.407       29.0795
      123.101       29.3856
      125.192       29.2949
      127.471       29.0159
      129.455       29.0318
      131.385       29.1016
       133.38       29.1069
      135.232        29.255
      136.928        29.559
      138.789        29.698
      140.717       29.7699
      142.452       30.0352
      144.205       30.2823
      146.059       30.4284
       148.11       30.3768
      150.214       30.2725
      152.312       30.1751
      154.074       30.4126
      156.266       30.2205
      157.941       30.5462
      159.797       30.6895
      162.007       30.4795
        163.4       31.0873
       165.49       30.9968
       167.48       31.0067
      169.249       31.2375
      171.265       31.2216
      173.412       31.0749
      175.147       31.3397
      176.974       31.5129
      178.971       31.5161
      181.001       31.4859
      182.994       31.4925
      185.102       31.3847
      186.991       31.4962
