     Time_Now  Buffer_Level 
      2.48965             2
      2.95033       3.53932
      3.22611       5.26354
      3.41136       7.07829
      3.51167       8.97799
      3.61167        10.878
       3.7095       12.7802
      3.80538       14.6843
      3.90287       16.5868
       3.9989       18.4908
       4.0969       20.3928
      4.19954       22.2901
      4.30196       24.1877
      4.39976       26.0899
      4.49886       27.9908
      4.60351       29.8861
      4.70824       31.7814
      4.81501       33.6746
      4.92435       35.5653
      5.03423       37.4554
      5.14375       39.3459
      5.90246       40.5872
      6.55451       41.9351
      7.19967         43.29
      7.75301       44.7366
       8.3015       46.1882
      8.78974       47.6999
      9.26484       49.2248
       9.7301       50.7596
      10.1963       52.2934
      10.4918       53.9978
      10.8718       55.6178
      11.3413       57.1484
      11.6221       58.8676
      12.0012       60.4884
      12.2033       62.2864
      12.4853       64.0044
      13.2372       65.2525
      13.9964       66.4932
      14.7533       67.7363
      15.6877       68.8019
      16.6935       69.7962
       17.724       70.7656
      18.6604       71.8293
       19.303       73.1867
      20.1216       74.3681
      21.0388       75.4509
      21.8902       76.5994
      23.0016       77.4881
      23.9319       78.5577
       24.497       79.9927
      24.7733       81.7164
       26.245       82.2447
      29.0923       81.3973
      31.2967       81.1929
      34.3966       80.0931
      37.2303       79.2594
      39.9733       78.5163
      42.1562       78.3335
       43.264       79.2256
      45.3538       79.1359
      48.0823       78.4073
      49.5581       78.9315
      50.9459       79.5438
      52.7984       79.6913
      54.0826        80.407
      55.0947       81.3949
      55.6504       82.8393
      56.0369       84.4527
      58.1669       84.3228
      60.5506       83.9391
      61.8394       84.6503
      63.6799       84.8098
      64.3499       86.1398
       64.444       88.0457
      65.7356        88.754
      68.3101       88.1796
      71.0447       87.4449
      73.6868       86.8029
      76.5293       85.9603
      79.2738       85.2158
      81.2745       85.2152
      83.1302       85.3595
      85.2581       85.2316
      86.9849       85.5047
      88.3863       86.1033
      89.9742       86.5155
      91.9107        86.579
       94.296       86.1937
      97.3139       85.1758
      99.5336        84.956
      102.829       83.6611
      105.134       83.3555
      107.152       83.3373
      110.556       81.9334
      111.847       82.6428
      114.215       82.2749
      116.987       81.5023
      118.625       81.8651
      121.011       81.4791
      123.933       80.5566
      125.692       80.7978
      126.819       81.6711
      128.019       82.4702
      129.307       83.1827
      130.785       83.7051
      132.807       83.6831
      134.634       83.8553
      136.647       83.8426
      137.956       84.5337
      138.796       85.6938
      139.462       87.0278
      139.828       88.6612
      140.117       90.3722
      140.413       92.0767
      140.795       93.6942
      141.704       94.7857
      142.912       95.5775
      144.642       95.8481
      145.756       96.7336
      147.335       97.1545
       148.54       97.9492
      149.386       99.1037
      149.853       100.637
      152.356       100.133
      154.289       100.201
      156.236       100.254
      158.087       100.402
       159.94       100.549
      161.581       100.908
      162.886       101.603
      164.015       102.474
      165.482       103.007
      166.786       103.703
      167.899       104.591
      169.184       105.305
      169.821       106.668
      170.835       107.654
      172.108       108.381
      173.502       108.988
       174.26        110.23
      175.654       110.836
      178.022       110.468
      179.867       110.622
      181.619        110.87
      1
